DateTime,EventId,EventType,Message,RecordId
2025-04-27 17:22:26,6013,System uptime report,The system uptime is 95380 seconds.,35766
2025-04-27 17:22:37,7001,User logon notification,User Logon Notification for Customer Experience Improvement Program,35802
2025-04-27 18:28:01,1074,System shutdown/restart initiated,The process Explorer.EXE has initiated the power off of computer AIGENT-4090 on behalf of user aigent-4090\piete for the following reason: Other (Unplanned)  Reason Code: 0x0  Shutdown Type: power off  Comment:,35881
2025-04-27 18:28:08,7002,User logoff notification,User Logoff Notification for Customer Experience Improvement Program,35904
2025-04-27 18:28:09,42,System entering sleep,The system is entering sleep.  Sleep Reason: Application API,35913
2025-04-28 19:07:56,6013,System uptime report,The system uptime is 188110 seconds.,35921
2025-04-28 19:08:15,7001,User logon notification,User Logon Notification for Customer Experience Improvement Program,35959
2025-04-28 19:43:57,1074,System shutdown/restart initiated,The process Explorer.EXE has initiated the power off of computer AIGENT-4090 on behalf of user aigent-4090\piete for the following reason: Other (Unplanned)  Reason Code: 0x0  Shutdown Type: power off  Comment:,36048
2025-04-28 19:43:59,7002,User logoff notification,User Logoff Notification for Customer Experience Improvement Program,36070
2025-04-28 19:44:00,42,System entering sleep,The system is entering sleep.  Sleep Reason: Application API,36077
2025-04-28 20:04:23,7001,User logon notification,User Logon Notification for Customer Experience Improvement Program,36101
2025-04-29 00:46:35,1074,System shutdown/restart initiated,The process Explorer.EXE has initiated the power off of computer AIGENT-4090 on behalf of user aigent-4090\piete for the following reason: Other (Unplanned)  Reason Code: 0x0  Shutdown Type: power off  Comment:,36165
2025-04-29 00:46:38,7002,User logoff notification,User Logoff Notification for Customer Experience Improvement Program,36187
2025-04-29 00:46:40,42,System entering sleep,The system is entering sleep.  Sleep Reason: Application API,36194
2025-04-29 09:07:01,7001,User logon notification,User Logon Notification for Customer Experience Improvement Program,36222
2025-04-29 09:37:09,1074,System shutdown/restart initiated,The process Explorer.EXE has initiated the power off of computer AIGENT-4090 on behalf of user aigent-4090\piete for the following reason: Other (Unplanned)  Reason Code: 0x0  Shutdown Type: power off  Comment:,36300
