session_id,summary,start_datetime,end_datetime,date,hours,iso_week_number,iso_year,iso_week,location,description
ses_0065,LLM Integratie en Model Selectie,2025-06-01T08:20:00,2025-06-01T10:05:00,2025-06-01,1.75,2025-W22,2025,22,Thuiswerk,LLM Integratie en Model Selectie
ses_0066,LLM Integratie en Model Selectie,2025-06-01T13:05:00,2025-06-01T16:45:00,2025-06-01,3.67,2025-W22,2025,22,Thuiswerk,LLM Integratie en Model Selectie
ses_0067,LLM Integratie en Model Selectie,2025-06-01T18:55:00,2025-06-01T22:45:00,2025-06-01,3.83,2025-W22,2025,22,Thuiswerk,LLM Integratie en Model Selectie
ses_0068,LLM Integratie en Model Selectie,2025-06-02T19:35:00,2025-06-02T22:20:00,2025-06-02,2.75,2025-W23,2025,23,Thuiswerk,LLM Integratie en Model Selectie
ses_0069,LLM Integratie en Model Selectie,2025-06-03T07:55:00,2025-06-03T09:50:00,2025-06-03,1.92,2025-W23,2025,23,Thuiswerk,LLM Integratie en Model Selectie
ses_0070,LLM Integratie en Model Selectie,2025-06-03T11:40:00,2025-06-03T13:00:00,2025-06-03,1.33,2025-W23,2025,23,Thuiswerk,LLM Integratie en Model Selectie
ses_0071,LLM Integratie en Model Selectie,2025-06-03T14:40:00,2025-06-03T16:25:00,2025-06-03,1.75,2025-W23,2025,23,Thuiswerk,LLM Integratie en Model Selectie
ses_0072,LLM Integratie en Model Selectie,2025-06-03T19:00:00,2025-06-03T22:40:00,2025-06-03,3.67,2025-W23,2025,23,Thuiswerk,LLM Integratie en Model Selectie
ses_0073,LLM Integratie en Model Selectie,2025-06-04T18:10:00,2025-06-04T23:15:00,2025-06-04,5.08,2025-W23,2025,23,Thuiswerk,LLM Integratie en Model Selectie
ses_0074,LLM Integratie en Model Selectie,2025-06-05T07:35:00,2025-06-05T10:15:00,2025-06-05,2.67,2025-W23,2025,23,Thuiswerk,LLM Integratie en Model Selectie
ses_0075,LLM Integratie en Model Selectie,2025-06-05T21:00:00,2025-06-05T23:15:00,2025-06-05,2.25,2025-W23,2025,23,Thuiswerk,LLM Integratie en Model Selectie
ses_0076,LLM Integratie en Model Selectie,2025-06-06T17:20:00,2025-06-06T23:50:00,2025-06-06,6.50,2025-W23,2025,23,Thuiswerk,LLM Integratie en Model Selectie
