datetime|timestamp|message|author|hash
2023-10-04 04:01:31 -0700|1696417291|Initial commit|Shishir Goyal|4477093107b4261765e0e6980a95575a3638ac54
2023-10-09 22:11:10 -0700|1696914670|Initial commit with TensorRT LLM model support.|Anuj Jalota|1f13943f437064069867b56088bcc8006ae176f3
2023-10-22 13:39:21 -0700|1698007161|Update README.md|Kedar Potdar|504e2a3629a13f25094ced4b00e1a6dc29316b1a
2023-10-23 09:46:12 +0000|1698054372|Minor updates to readme, dependencies (#3)|akaanupkumar|7add04df2119f2ce09d9faa157a75fe071d5aaf5
2023-10-23 23:29:51 -0700|1698128991|Update README.md|Kedar Potdar|ea41ca699b024a00f8758db311174907104a2ddd
2023-10-24 00:13:29 -0700|1698131609|Update README.md|Kedar Potdar|9cb1b15b780f0a90626c743fe26aa7f5cdb8a04a
2023-10-24 00:21:28 -0700|1698132088|Update README.md|Kedar Potdar|2d15de6e3fb15171a538a73e5c2dd85e361a3741
2023-10-25 10:54:20 +0530|1698211460|Update building TRT engine in README.md|Bhavik Sharda|a9bcdfadeec6be12351450f2a0ef2e4db1ee736e
2023-10-25 14:28:17 +0000|1698244097|Updated LICENSE.md with SPDX identifiers|Bhavik|d661f01f7e0d383f804a42a85b2f29188aaacd5a
2023-10-25 14:29:08 +0000|1698244148|Merge branch 'release/1.0' of https://github.com/NVIDIA/trt-llm-rag-windows into release/1.0|Bhavik|7efc9fd64e9dec0fab57a8e294dd153d4ae976ad
2023-10-25 13:30:19 -0700|1698265819|typo fixed in README.md|Kedar Potdar|bdb311bd874728eb99c13a503afc092d96501e14
2023-10-25 22:08:53 -0700|1698296933|Update README.md|Kedar Potdar|3624b6dec6603ff93c4ab89a721a5c032471d319
2023-10-25 22:10:30 -0700|1698297030|Update NGC links|Kedar Potdar|cf2b64d5a2f065583e5428d151e6df9f986da9ff
2023-10-25 22:12:30 -0700|1698297150|Update README.md|Kedar Potdar|da44c1f6615179a42502b8908b64878d22c25f25
2023-10-31 22:24:42 +0000|1698791082|Bump pypdf from 3.15.5 to 3.17.0|dependabot[bot]|a28885af3846f27d464a45b57fe4a5471534c73a
2023-11-05 17:44:34 -0800|1699235074|Update README.md|Kedar Potdar|5ed72c0a7906c16498b54d3e8e4b64294845436f
2023-11-11 05:21:01 +0000|1699680061|Bump langchain from 0.0.312 to 0.0.329|dependabot[bot]|6a80003c497832db62b0267007222f60a6acf964
2023-11-24 14:32:23 +0000|1700836343|Removing tokens_per_block and using default.|bhavik|9dead5fed315f032add2e575f0758034a6aba96f
2023-12-20 21:12:48 +0000|1703106768|Bump transformers from 4.31.0 to 4.36.0|dependabot[bot]|b746938f5249af7a9173ecc514100c4dca9ceaa2
2023-12-21 18:38:04 +0000|1703183884|Bump gradio from 3.43.0 to 4.11.0|dependabot[bot]|27aba16f8a71e8507755eb49a9e67f81605887c5
2024-02-14 21:53:20 +0530|1707927800|Updating README.md with multiple TRT-LLM supported versions.|Bhavik Sharda|49d1ffc423df67d3c591dccab7ab7c54981f4768
2024-02-16 08:14:00 -0800|1708100040|Update README.md|Kedar Potdar|cec6901e24f50e5772104bd0053d7344c1f77916
2024-02-17 13:38:19 +0900|1708144699|Update faiss_vector_storage.py|Ikko Eltociear Ashimine|c2a88514bc6eeb11039e5e45f6727959371a26e7
2024-02-19 23:33:35 -0800|1708414415|Update README.md|Kedar Potdar|df97ba469ca34362570ac872469c98ccaaf301bd
2024-02-19 23:36:10 -0800|1708414570|Update README.md|Kedar Potdar|feea983e1c6ee7497687423c8e1f0e6b0c2e479a
2024-02-19 23:47:35 -0800|1708415255|Update README.md|Kedar Potdar|a34038909bca51f6b684fb18ef0cc3314f48d360
2024-02-19 23:52:04 -0800|1708415524|Update README.md|Kedar Potdar|5adae91eb5b0741952ac2216815bbb1f41a0a631
2024-02-19 23:53:41 -0800|1708415621|Update README.md|Kedar Potdar|a3b38994252663ccfb4a215763e69870ce8f944d
2024-02-19 23:54:09 -0800|1708415649|Update README.md|Kedar Potdar|878139a6e0c2be17dd05324361e4078648953373
2024-02-19 23:55:38 -0800|1708415738|Update README.md|Kedar Potdar|39a4bd52fcbb5f0aefdb5370092e417c0df27607
2024-02-19 23:58:21 -0800|1708415901|Update README.md|Kedar Potdar|fe0ace123c03a6d6c23398c431de0cdc420a996c
2024-02-19 23:59:34 -0800|1708415974|Update README.md|Kedar Potdar|35165d600355b3a6acc939e2f5fc46f095b21085
2024-02-20 17:13:43 +0530|1708429423|Merge pull request #30 from eltociear/patch-1|Bhavik Sharda|96bbc4f90eea43bdf52012e06d7ac7162e0b2883
2024-05-14 12:11:39 +0530|1715668899|Update chatRTX 0.3 code|Anuj Jalota|6d07d11395f18a2da7e6fda35fb1b4732d69c7db
2024-05-14 13:50:02 +0530|1715674802|Update README.md|anujj|bb2c5c3d258f83211e7702873ceef23438ba8348
2024-08-05 11:15:26 +0530|1722836726|Initial commit on empty branch|Anuj Jalota|da518570b3bc6a9b1afd262c8981ad7e06cf6173
2024-08-05 11:34:00 +0530|1722837840|Update o.4.0 codebase|Anuj Jalota|0c86d4fcdb079dd50707a45a14425e9d467a6553
2024-08-05 13:34:09 +0530|1722845049|Move the app files to ChatRTX_App|Anuj Jalota|873e11683ef7834e0bd86aad94c61f6d30736e72
