datetime|timestamp|message|author|hash
2024-06-23 22:14:49|1719173689|Initial commit|Cole Medin|18e585b9e06b77063157fbf06df891735b19bd16
2024-06-23 22:17:29|1719173849|Created AI Agents Masterclass Repo|Cole Medin|1a914e0d45673f3255a387c37d6890dccf462462
2024-06-30 21:39:51|1719776391|Masterclass video #2 - AI Agents with LangChain|Cole Medin|74763f1e0eeb1cdb09d09b15288a78215fb214e9
2024-07-02 14:53:06|1719924786|Adding streamlit chatbot|Cole Medin|3f8afcf52645d844afcbd6fb75639eb88ca8d40c
2024-07-07 18:47:15|1720370835|Masterclass 3 - Chatbot UI for AI Agent|Cole Medin|51468602539746bdc48e1fd98b153ebf35aa9ec8
2024-07-10 22:31:08|1720643468|Local LLM Tool Calling|Cole Medin|8444e3d2e666b09aa51170218c7ae82956ed2b08
2024-07-14 20:51:37|1720983097|Masterclass #4 - Full Task Management Agent|Cole Medin|65333baddfb9c30c803ff370129bd5ad1bb55f2d
2024-07-17 17:00:03|1721228403|AI Mad Libs|Cole Medin|0a215eb7cd39769a47e554b0cc6ce5259239c362
2024-07-20 17:24:08|1721489048|Groq Llama 3 AI Agent|Cole Medin|f290a960cce5f4de59916d07d6110fdc2a03025f
2024-07-28 00:03:04|1722117784|AI Agents Masterclass #5 - RAG|Cole Medin|0a7860b0fff8daeae9a27f8eddc32a154cffeb0d
2024-07-31 18:34:32|1722443672|AI Router for Cost Saving with AI Agents|Cole Medin|2914135e96ef540d47b8463945fe06f50eab1850
2024-08-02 21:47:55|1722628075|AI Agents Masterclass #6 - RAG AI Agent|Cole Medin|bf8d518c8251ad26b85426a8b9ac71421a9d3e80
2024-08-05 00:24:41|1722810281|AI Agents Masterclass #7 - LangGraph Guide|Cole Medin|f0aef8ff6e38c26e01db90e1a0e81d31042307df
2024-08-05 00:31:56|1722810716|Update README.md|Cole Medin|1497547ff45d1a294cade60aac776610adb68e8a
2024-08-18 20:16:12|1724004972|AI Agents Masterclass #8 - n8n AI Agent|Cole Medin|3be0c4348b3e158e9f6908a41ae9ddcb340c57dc
2024-08-21 23:36:57|1724276217|GHL SaaS Backend|Cole Medin|d2fdcb9c3b490e6fc24d141385f0b61ae6fc45f6
2024-08-24 21:49:25|1724528965|AI Agents Masterclass #9 - n8n RAG Agent|Cole Medin|8cbd27ad1f170718a4904a1e52ca9024ef33dcb1
