date,start_time,end_time,duration_hours,session_id,session_type,is_wbso,source_type
2025-04-27,17:20:00,18:25:00,1.08,ses_0001,short_session,True,real
2025-04-28,19:10:00,19:40:00,0.5,ses_0002,short_session,True,real
2025-04-28,20:05:00,00:00:00,-20.08,ses_0003,short_session,True,real
2025-04-29,00:00:00,00:45:00,0.75,ses_0004,short_session,True,real
2025-04-29,09:05:00,09:35:00,0.5,ses_0005,short_session,True,real
2025-04-29,11:30:00,14:25:00,2.92,ses_0006,short_session,True,real
2025-04-29,16:20:00,23:00:00,5.92,ses_0007,half_day,True,real
2025-04-30,07:35:00,08:50:00,1.25,ses_0008,short_session,True,real
2025-04-30,17:05:00,22:25:00,5.33,ses_0009,half_day,True,real
2025-05-01,08:15:00,19:15:00,9.58,ses_0010,full_day,True,real
2025-05-01,21:35:00,23:20:00,1.75,ses_0011,short_session,True,real
2025-05-02,08:40:00,12:30:00,3.83,ses_0012,short_session,True,real
2025-05-03,10:40:00,11:55:00,1.25,ses_0013,short_session,True,real
2025-05-03,13:15:00,16:20:00,3.08,ses_0014,short_session,True,real
2025-05-04,15:40:00,21:45:00,5.33,ses_0015,half_day,True,real
2025-05-05,19:30:00,19:35:00,0.08,ses_0016,short_session,True,real
2025-05-05,20:00:00,23:55:00,3.92,ses_0017,short_session,True,real
2025-05-06,09:40:00,20:40:00,9.67,ses_0018,full_day,True,real
2025-05-07,08:20:00,15:05:00,6.17,ses_0019,half_day,True,real
2025-05-08,10:45:00,13:15:00,2.5,ses_0020,short_session,True,real
2025-05-08,23:15:00,23:25:00,0.17,ses_0021,short_session,True,real
2025-05-09,07:40:00,08:30:00,0.83,ses_0022,short_session,True,real
2025-05-09,19:15:00,23:55:00,4.67,ses_0023,half_day,True,real
2025-05-10,13:50:00,14:00:00,0.17,ses_0024,short_session,True,real
2025-05-10,15:30:00,23:40:00,6.08,ses_0025,full_day,True,real
2025-05-11,08:50:00,10:15:00,1.42,ses_0026,short_session,True,real
2025-05-11,12:10:00,13:15:00,1.08,ses_0027,short_session,True,real
2025-05-11,16:10:00,20:50:00,4.67,ses_0028,half_day,True,real
2025-05-12,19:45:00,22:35:00,2.83,ses_0029,short_session,True,real
2025-05-13,10:15:00,12:30:00,2.25,ses_0030,short_session,True,real
2025-05-13,16:15:00,17:50:00,1.58,ses_0031,short_session,True,real
2025-05-13,19:40:00,23:00:00,3.33,ses_0032,short_session,True,real
2025-05-14,17:35:00,00:00:00,-17.58,ses_0033,half_day,True,real
2025-05-15,00:00:00,10:30:00,9.17,ses_0034,full_day,True,real
2025-05-15,14:00:00,14:30:00,0.0,ses_0035,full_day,True,real
2025-05-16,08:30:00,16:15:00,7.25,ses_0036,half_day,True,real
2025-05-17,11:05:00,22:05:00,8.67,ses_0037,full_day,True,real
2025-05-18,08:40:00,09:45:00,1.08,ses_0038,short_session,True,real
2025-05-18,19:50:00,21:30:00,1.67,ses_0039,short_session,True,real
2025-05-19,19:40:00,22:05:00,2.42,ses_0040,short_session,True,real
2025-05-20,20:55:00,21:40:00,0.75,ses_0041,short_session,True,real
2025-05-22,07:15:00,08:45:00,1.5,ses_0042,short_session,True,real
2025-05-22,10:35:00,20:05:00,7.58,ses_0043,full_day,True,real
2025-05-23,16:45:00,00:00:00,-16.75,ses_0044,half_day,True,real
2025-05-24,00:00:00,11:00:00,10.0,ses_0045,full_day,True,real
2025-05-25,17:05:00,22:50:00,5.75,ses_0046,half_day,True,real
2025-05-26,19:15:00,23:15:00,4.0,ses_0047,half_day,True,real
2025-05-27,07:25:00,09:15:00,1.83,ses_0048,short_session,True,real
2025-05-27,11:10:00,17:40:00,6.17,ses_0049,half_day,True,real
2025-05-27,20:30:00,23:00:00,2.5,ses_0050,short_session,True,real
2025-05-28,17:55:00,23:00:00,5.08,ses_0051,half_day,True,real
2025-05-29,08:00:00,10:10:00,2.17,ses_0052,short_session,True,real
2025-05-29,11:15:00,11:25:00,0.17,ses_0053,short_session,True,real
2025-05-29,11:50:00,12:45:00,0.92,ses_0054,short_session,True,real
2025-05-29,20:15:00,22:55:00,2.67,ses_0055,short_session,True,real
2025-05-30,10:20:00,12:15:00,1.92,ses_0056,short_session,True,real
2025-05-30,18:25:00,00:00:00,-18.42,ses_0057,half_day,True,real
2025-05-31,00:00:00,00:40:00,0.67,ses_0058,short_session,True,real
2025-05-31,10:10:00,15:25:00,5.25,ses_0059,half_day,True,real
2025-06-01,08:20:00,10:05:00,1.75,ses_0060,short_session,True,real
2025-06-01,13:05:00,16:45:00,3.67,ses_0061,short_session,True,real
2025-06-01,18:55:00,22:45:00,3.83,ses_0062,short_session,True,real
2025-06-02,19:35:00,22:20:00,2.75,ses_0063,short_session,True,real
2025-06-03,07:55:00,09:50:00,1.92,ses_0064,short_session,True,real
2025-06-03,11:40:00,13:00:00,1.33,ses_0065,short_session,True,real
2025-06-03,14:40:00,16:25:00,1.75,ses_0066,short_session,True,real
2025-06-03,19:00:00,22:40:00,3.67,ses_0067,short_session,True,real
2025-06-04,18:10:00,23:15:00,5.08,ses_0068,half_day,True,real
2025-06-05,07:35:00,10:15:00,2.67,ses_0069,short_session,True,real
2025-06-05,21:00:00,23:15:00,2.25,ses_0070,short_session,True,real
2025-06-06,17:20:00,23:50:00,6.0,ses_0071,half_day,True,real
2025-06-07,08:15:00,11:05:00,2.83,ses_0072,short_session,True,real
2025-06-07,12:00:00,13:15:00,1.25,ses_0073,short_session,True,real
2025-06-07,17:25:00,23:30:00,5.42,ses_0074,half_day,True,real
2025-06-08,08:45:00,10:00:00,1.25,ses_0075,short_session,True,real
2025-06-08,12:30:00,22:15:00,8.33,ses_0076,full_day,True,real
2025-06-09,07:10:00,18:10:00,9.33,ses_0077,full_day,True,real
2025-06-10,21:35:00,22:40:00,1.08,ses_0078,short_session,True,real
2025-06-11,06:50:00,07:50:00,1.0,ses_0079,short_session,True,real
2025-06-11,18:25:00,23:40:00,5.25,ses_0080,half_day,True,real
2025-06-12,07:35:00,11:30:00,3.92,ses_0081,short_session,True,real
2025-06-12,13:10:00,16:20:00,3.17,ses_0082,short_session,True,real
2025-06-12,21:00:00,23:00:00,2.0,ses_0083,short_session,True,real
2025-06-13,07:25:00,18:25:00,9.42,ses_0084,full_day,True,real
2025-06-14,10:55:00,21:55:00,9.5,ses_0085,full_day,True,real
2025-06-15,09:40:00,10:00:00,0.33,ses_0086,short_session,True,real
2025-06-15,12:45:00,13:25:00,0.67,ses_0087,short_session,True,real
2025-06-15,22:10:00,00:00:00,-22.17,ses_0088,short_session,True,real
2025-06-16,00:00:00,00:00:00,0.0,ses_0089,short_session,True,real
2025-06-16,19:25:00,23:10:00,3.75,ses_0090,short_session,True,real
2025-06-17,08:30:00,09:00:00,0.5,ses_0091,short_session,True,real
2025-06-17,11:00:00,13:50:00,2.83,ses_0092,short_session,True,real
2025-06-17,18:30:00,23:25:00,4.92,ses_0093,half_day,True,real
2025-06-18,08:45:00,11:45:00,3.0,ses_0094,short_session,True,real
2025-06-19,11:10:00,13:05:00,1.92,ses_0095,short_session,True,real
2025-06-19,19:45:00,22:50:00,3.08,ses_0096,short_session,True,real
2025-06-20,18:10:00,20:15:00,2.08,ses_0097,short_session,True,real
2025-06-21,07:15:00,14:25:00,6.5,ses_0098,half_day,True,real
2025-06-21,17:15:00,21:05:00,3.83,ses_0099,half_day,True,real
2025-06-22,13:00:00,00:00:00,-13.5,ses_0100,full_day,True,real
2025-06-24,11:20:00,16:45:00,5.42,ses_0101,half_day,True,real
2025-06-24,21:00:00,22:45:00,1.75,ses_0102,short_session,True,real
2025-06-25,06:45:00,12:50:00,5.58,ses_0103,half_day,True,real
2025-06-25,16:05:00,21:00:00,4.92,ses_0104,half_day,True,real
2025-06-26,07:25:00,09:15:00,1.83,ses_0105,short_session,True,real
2025-06-26,11:35:00,17:40:00,5.5,ses_0106,half_day,True,real
2025-06-26,19:45:00,20:20:00,0.58,ses_0107,short_session,True,real
2025-06-26,20:45:00,22:30:00,1.75,ses_0108,short_session,True,real
2025-06-27,16:05:00,20:20:00,4.25,ses_0109,half_day,True,real
2025-06-27,22:00:00,00:00:00,-22.0,ses_0110,short_session,True,real
2025-06-28,00:00:00,11:00:00,9.92,ses_0111,full_day,True,real
2025-06-28,18:55:00,23:30:00,4.58,ses_0112,half_day,True,real
2025-06-29,08:30:00,10:10:00,1.67,ses_0113,short_session,True,real
2025-06-29,18:10:00,21:15:00,3.08,ses_0114,short_session,True,real
2025-06-30,10:35:00,12:25:00,1.83,ses_0115,short_session,True,real
2025-06-30,13:00:00,13:00:00,0.0,ses_0116,short_session,True,real
2025-06-30,15:30:00,22:45:00,6.75,ses_0117,half_day,True,real
2025-07-01,09:10:00,10:50:00,1.67,ses_0118,short_session,True,real
2025-07-01,13:20:00,21:10:00,7.17,ses_0119,half_day,True,real
2025-07-01,22:05:00,23:25:00,1.33,ses_0120,short_session,True,real
2025-07-02,07:15:00,17:30:00,8.58,ses_0121,full_day,True,real
2025-07-03,06:30:00,09:50:00,3.33,ses_0122,short_session,True,real
2025-07-03,10:35:00,15:55:00,5.33,ses_0123,half_day,True,real
2025-07-03,17:15:00,18:15:00,1.0,ses_0124,short_session,True,real
2025-07-03,20:00:00,21:20:00,1.33,ses_0125,short_session,True,real
2025-07-04,06:30:00,15:40:00,8.17,ses_0126,full_day,True,real
2025-07-04,20:30:00,22:20:00,1.83,ses_0127,short_session,True,real
2025-07-05,07:15:00,18:15:00,9.0,ses_0128,full_day,True,real
2025-07-06,08:40:00,10:15:00,1.58,ses_0129,short_session,True,real
2025-07-06,13:35:00,16:00:00,2.42,ses_0130,short_session,True,real
2025-07-07,07:20:00,18:20:00,9.5,ses_0131,full_day,True,real
2025-07-08,07:25:00,10:15:00,2.83,ses_0132,short_session,True,real
2025-07-08,11:50:00,12:40:00,0.83,ses_0133,short_session,True,real
2025-07-08,20:05:00,23:35:00,3.5,ses_0134,short_session,True,real
2025-07-09,07:05:00,18:05:00,9.33,ses_0135,full_day,True,real
2025-07-10,09:25:00,15:15:00,5.83,ses_0136,half_day,True,real
2025-07-10,16:15:00,21:25:00,5.17,ses_0137,half_day,True,real
2025-07-11,07:30:00,17:15:00,8.17,ses_0138,full_day,True,real
2025-07-11,20:25:00,21:40:00,1.25,ses_0139,short_session,True,real
2025-07-12,07:50:00,13:40:00,5.83,ses_0140,half_day,True,real
2025-07-12,16:25:00,21:35:00,5.17,ses_0141,half_day,True,real
2025-07-13,09:00:00,09:45:00,0.75,ses_0142,short_session,True,real
2025-07-16,20:30:00,22:55:00,2.42,ses_0143,short_session,True,real
2025-07-17,06:30:00,15:40:00,8.17,ses_0144,full_day,True,real
2025-07-17,16:25:00,18:15:00,1.83,ses_0145,half_day,True,real
2025-07-18,10:45:00,11:25:00,0.67,ses_0146,short_session,True,real
2025-07-18,13:10:00,13:30:00,0.33,ses_0147,short_session,True,real
2025-07-20,17:00:00,22:35:00,5.58,ses_0148,half_day,True,real
2025-07-21,19:50:00,22:30:00,2.67,ses_0149,short_session,True,real
2025-07-22,21:25:00,22:45:00,1.33,ses_0150,short_session,True,real
2025-07-23,18:50:00,00:00:00,-18.83,ses_0151,half_day,True,real
2025-07-24,00:00:00,11:00:00,10.0,ses_0152,full_day,True,real
2025-07-25,06:25:00,00:00:00,-6.92,ses_0153,full_day,True,real
2025-07-26,00:00:00,11:00:00,10.0,ses_0154,full_day,True,real
2025-07-26,13:45:00,17:00:00,3.25,ses_0155,short_session,True,real
2025-07-26,22:50:00,00:00:00,-22.83,ses_0156,short_session,True,real
2025-07-27,00:00:00,02:10:00,2.17,ses_0157,short_session,True,real
2025-07-27,08:50:00,10:10:00,1.33,ses_0158,short_session,True,real
