session_id,date,start_time,end_time,session_hours,activity_id,activity_name_nl,sub_activity_id,sub_activity_name_nl,sub_activity_estimated_hours,cumulative_hours,commit_count
ses_0060,2025-06-01,08:20:00,10:05:00,1.75,ai_framework_development,AI Framework Ontwikkeling,llm_integration,LLM Integratie en Model Selectie,85.0,1.75,0
ses_0061,2025-06-01,13:05:00,16:45:00,3.6666666666666665,ai_framework_development,AI Framework Ontwikkeling,llm_integration,LLM Integratie en Model Selectie,85.0,5.416666666666666,0
ses_0062,2025-06-01,18:55:00,22:45:00,3.8333333333333335,ai_framework_development,AI Framework Ontwikkeling,llm_integration,LLM Integratie en Model Selectie,85.0,9.25,0
ses_0063,2025-06-02,19:35:00,22:20:00,2.75,ai_framework_development,AI Framework Ontwikkeling,llm_integration,LLM Integratie en Model Selectie,85.0,12.0,0
ses_0064,2025-06-03,07:55:00,09:50:00,1.9166666666666667,ai_framework_development,AI Framework Ontwikkeling,llm_integration,LLM Integratie en Model Selectie,85.0,13.916666666666666,0
ses_0065,2025-06-03,11:40:00,13:00:00,1.3333333333333333,ai_framework_development,AI Framework Ontwikkeling,llm_integration,LLM Integratie en Model Selectie,85.0,15.25,0
ses_0066,2025-06-03,14:40:00,16:25:00,1.75,ai_framework_development,AI Framework Ontwikkeling,llm_integration,LLM Integratie en Model Selectie,85.0,17.0,0
ses_0067,2025-06-03,19:00:00,22:40:00,3.6666666666666665,ai_framework_development,AI Framework Ontwikkeling,llm_integration,LLM Integratie en Model Selectie,85.0,20.666666666666668,0
ses_0068,2025-06-04,18:10:00,23:15:00,5.083333333333333,ai_framework_development,AI Framework Ontwikkeling,llm_integration,LLM Integratie en Model Selectie,85.0,25.75,0
ses_0069,2025-06-05,07:35:00,10:15:00,2.6666666666666665,ai_framework_development,AI Framework Ontwikkeling,llm_integration,LLM Integratie en Model Selectie,85.0,28.416666666666668,0
ses_0070,2025-06-05,21:00:00,23:15:00,2.25,ai_framework_development,AI Framework Ontwikkeling,llm_integration,LLM Integratie en Model Selectie,85.0,30.666666666666668,0
ses_0071,2025-06-06,17:20:00,23:50:00,6.5,ai_framework_development,AI Framework Ontwikkeling,llm_integration,LLM Integratie en Model Selectie,85.0,37.16666666666667,0
ses_0072,2025-06-07,08:15:00,11:05:00,2.8333333333333335,ai_framework_development,AI Framework Ontwikkeling,llm_integration,LLM Integratie en Model Selectie,85.0,40.00000000000001,0
ses_0073,2025-06-07,12:00:00,13:15:00,1.25,ai_framework_development,AI Framework Ontwikkeling,llm_integration,LLM Integratie en Model Selectie,85.0,41.25000000000001,0
ses_0074,2025-06-07,17:25:00,23:30:00,6.083333333333333,ai_framework_development,AI Framework Ontwikkeling,llm_integration,LLM Integratie en Model Selectie,85.0,47.33333333333334,0
ses_0075,2025-06-08,08:45:00,10:00:00,1.25,ai_framework_development,AI Framework Ontwikkeling,llm_integration,LLM Integratie en Model Selectie,85.0,48.58333333333334,0
ses_0076,2025-06-08,12:30:00,23:15:00,10.75,ai_framework_development,AI Framework Ontwikkeling,llm_integration,LLM Integratie en Model Selectie,85.0,59.33333333333334,0
ses_0077,2025-06-09,07:10:00,23:20:00,16.166666666666668,ai_framework_development,AI Framework Ontwikkeling,llm_integration,LLM Integratie en Model Selectie,85.0,75.50000000000001,0
ses_0078,2025-06-10,21:35:00,22:40:00,1.0833333333333333,ai_framework_development,AI Framework Ontwikkeling,llm_integration,LLM Integratie en Model Selectie,85.0,76.58333333333334,0
ses_0079,2025-06-11,06:50:00,07:50:00,1.0,ai_framework_development,AI Framework Ontwikkeling,llm_integration,LLM Integratie en Model Selectie,85.0,77.58333333333334,0
ses_0080,2025-06-11,18:25:00,23:40:00,5.25,ai_framework_development,AI Framework Ontwikkeling,llm_integration,LLM Integratie en Model Selectie,85.0,82.83333333333334,0
ses_0081,2025-06-12,07:35:00,11:30:00,3.9166666666666665,ai_framework_development,AI Framework Ontwikkeling,llm_integration,LLM Integratie en Model Selectie,85.0,86.75000000000001,0
ses_0082,2025-06-12,13:10:00,16:20:00,3.1666666666666665,ai_framework_development,AI Framework Ontwikkeling,agent_orchestration,AI Agent Orkestratie,75.0,3.1666666666666665,0
ses_0083,2025-06-12,21:00:00,23:00:00,2.0,ai_framework_development,AI Framework Ontwikkeling,agent_orchestration,AI Agent Orkestratie,75.0,5.166666666666666,0
ses_0084,2025-06-13,07:25:00,23:00:00,15.583333333333334,ai_framework_development,AI Framework Ontwikkeling,agent_orchestration,AI Agent Orkestratie,75.0,20.75,0
ses_0085,2025-06-14,10:55:00,23:30:00,12.583333333333334,ai_framework_development,AI Framework Ontwikkeling,agent_orchestration,AI Agent Orkestratie,75.0,33.333333333333336,0
ses_0086,2025-06-15,09:40:00,10:00:00,0.3333333333333333,ai_framework_development,AI Framework Ontwikkeling,agent_orchestration,AI Agent Orkestratie,75.0,33.66666666666667,0
ses_0087,2025-06-15,12:45:00,13:25:00,0.6666666666666666,ai_framework_development,AI Framework Ontwikkeling,agent_orchestration,AI Agent Orkestratie,75.0,34.333333333333336,0
ses_0088,2025-06-15,22:10:00,23:59:00,1.8166666666666667,ai_framework_development,AI Framework Ontwikkeling,agent_orchestration,AI Agent Orkestratie,75.0,36.150000000000006,0
ses_0090,2025-06-16,19:25:00,23:10:00,3.75,ai_framework_development,AI Framework Ontwikkeling,agent_orchestration,AI Agent Orkestratie,75.0,39.900000000000006,0
ses_0091,2025-06-17,08:30:00,09:00:00,0.5,ai_framework_development,AI Framework Ontwikkeling,agent_orchestration,AI Agent Orkestratie,75.0,40.400000000000006,0
ses_0092,2025-06-17,11:00:00,13:50:00,2.8333333333333335,ai_framework_development,AI Framework Ontwikkeling,agent_orchestration,AI Agent Orkestratie,75.0,43.23333333333334,0
ses_0093,2025-06-17,18:30:00,23:25:00,4.916666666666667,ai_framework_development,AI Framework Ontwikkeling,agent_orchestration,AI Agent Orkestratie,75.0,48.150000000000006,0
ses_0094,2025-06-18,08:45:00,11:45:00,3.0,ai_framework_development,AI Framework Ontwikkeling,agent_orchestration,AI Agent Orkestratie,75.0,51.150000000000006,0
ses_0095,2025-06-19,11:10:00,13:05:00,1.9166666666666667,ai_framework_development,AI Framework Ontwikkeling,agent_orchestration,AI Agent Orkestratie,75.0,53.06666666666667,0
ses_0096,2025-06-19,19:45:00,22:50:00,3.0833333333333335,ai_framework_development,AI Framework Ontwikkeling,agent_orchestration,AI Agent Orkestratie,75.0,56.150000000000006,0
ses_0097,2025-06-20,18:10:00,20:15:00,2.0833333333333335,ai_framework_development,AI Framework Ontwikkeling,agent_orchestration,AI Agent Orkestratie,75.0,58.23333333333334,0
ses_0098,2025-06-21,07:15:00,14:25:00,7.166666666666667,ai_framework_development,AI Framework Ontwikkeling,agent_orchestration,AI Agent Orkestratie,75.0,65.4,0
ses_0099,2025-06-21,17:15:00,22:45:00,5.5,ai_framework_development,AI Framework Ontwikkeling,agent_orchestration,AI Agent Orkestratie,75.0,70.9,0
ses_0100,2025-06-22,13:00:00,23:59:00,10.983333333333333,ai_framework_development,AI Framework Ontwikkeling,agent_orchestration,AI Agent Orkestratie,75.0,81.88333333333334,0
ses_0101,2025-06-24,11:20:00,16:45:00,5.416666666666667,ai_framework_development,AI Framework Ontwikkeling,prompt_engineering,Prompt Engineering en Jailbreak Detectie,60.0,5.416666666666667,0
ses_0102,2025-06-24,21:00:00,22:45:00,1.75,ai_framework_development,AI Framework Ontwikkeling,prompt_engineering,Prompt Engineering en Jailbreak Detectie,60.0,7.166666666666667,0
ses_0103,2025-06-25,06:45:00,12:50:00,6.083333333333333,ai_framework_development,AI Framework Ontwikkeling,prompt_engineering,Prompt Engineering en Jailbreak Detectie,60.0,13.25,0
ses_0104,2025-06-25,16:05:00,22:40:00,6.583333333333333,ai_framework_development,AI Framework Ontwikkeling,prompt_engineering,Prompt Engineering en Jailbreak Detectie,60.0,19.833333333333332,0
ses_0105,2025-06-26,07:25:00,09:15:00,1.8333333333333333,ai_framework_development,AI Framework Ontwikkeling,prompt_engineering,Prompt Engineering en Jailbreak Detectie,60.0,21.666666666666664,0
ses_0106,2025-06-26,11:35:00,17:40:00,6.083333333333333,ai_framework_development,AI Framework Ontwikkeling,prompt_engineering,Prompt Engineering en Jailbreak Detectie,60.0,27.749999999999996,0
